player_name,appo_team,Vanue,inning,runs,wick,date
MP Vaughan,Australia,The Rose Bowl,0,0,0,2005-06-13
SJ Harmison,Australia,The Rose Bowl,1,0,1,2005-06-13
VS Solanki,Australia,The Rose Bowl,0,9,0,2005-06-13
ML Hayden,England,The Rose Bowl,1,6,0,2005-06-13
PD Collingwood,Australia,The Rose Bowl,0,46,2,2005-06-13
AC Gilchrist,England,The Rose Bowl,1,15,0,2005-06-13
ME Trescothick,Australia,The Rose Bowl,0,41,0,2005-06-13
JN Gillespie,England,The Rose Bowl,1,24,1,2005-06-13
MS Kasprowicz,England,The Rose Bowl,1,3,1,2005-06-13
B Lee,England,The Rose Bowl,1,15,0,2005-06-13
GD McGrath,England,The Rose Bowl,1,5,3,2005-06-13
RT Ponting,England,The Rose Bowl,1,0,0,2005-06-13
MJ Clarke,England,The Rose Bowl,1,0,1,2005-06-13
AJ Strauss,Australia,The Rose Bowl,0,18,0,2005-06-13
J Lewis,Australia,The Rose Bowl,1,0,4,2005-06-13
KP Pietersen,Australia,The Rose Bowl,0,34,0,2005-06-13
MEK Hussey,England,The Rose Bowl,1,1,0,2005-06-13
A Flintoff,Australia,The Rose Bowl,0,6,0,2005-06-13
D Gough,Australia,The Rose Bowl,1,0,3,2005-06-13
DR Martyn,England,The Rose Bowl,1,4,0,2005-06-13
GO Jones,Australia,The Rose Bowl,0,19,0,2005-06-13
A Symonds,England,The Rose Bowl,1,0,2,2005-06-13
MS Sinclair,Australia,Eden Park,1,0,0,2005-02-17
AR Adams,Australia,Eden Park,1,7,0,2005-02-17
KD Mills,Australia,Eden Park,1,0,3,2005-02-17
AC Gilchrist,New Zealand,Eden Park,0,1,0,2005-02-17
JW Wilson,Australia,Eden Park,1,18,0,2005-02-17
MS Kasprowicz,New Zealand,Eden Park,1,0,4,2005-02-17
HJH Marshall,Australia,Eden Park,1,8,0,2005-02-17
B Lee,New Zealand,Eden Park,1,0,1,2005-02-17
GD McGrath,New Zealand,Eden Park,1,0,2,2005-02-17
CD McMillan,Australia,Eden Park,1,9,0,2005-02-17
SB Styris,Australia,Eden Park,1,66,0,2005-02-17
RT Ponting,New Zealand,Eden Park,0,98,0,2005-02-17
MJ Clarke,New Zealand,Eden Park,0,7,0,2005-02-17
SM Katich,New Zealand,Eden Park,0,30,0,2005-02-17
DR Tuffey,Australia,Eden Park,1,5,1,2005-02-17
JR Hopes,New Zealand,Eden Park,1,0,1,2005-02-17
MEK Hussey,New Zealand,Eden Park,0,31,0,2005-02-17
SP Fleming,Australia,Eden Park,1,18,0,2005-02-17
CL Cairns,Australia,Eden Park,1,1,1,2005-02-17
DR Martyn,New Zealand,Eden Park,0,3,0,2005-02-17
BB McCullum,Australia,Eden Park,1,36,0,2005-02-17
A Symonds,New Zealand,Eden Park,0,32,1,2005-02-17
SM Pollock,New Zealand,New Wanderers Stadium,0,0,0,2005-10-21
AR Adams,South Africa,New Wanderers Stadium,0,0,1,2005-10-21
N Boje,New Zealand,New Wanderers Stadium,1,0,1,2005-10-21
KD Mills,South Africa,New Wanderers Stadium,0,0,0,2005-10-21
M Ntini,New Zealand,New Wanderers Stadium,0,5,0,2005-10-21
MV Boucher,New Zealand,New Wanderers Stadium,0,4,0,2005-10-21
JS Patel,South Africa,New Wanderers Stadium,0,0,3,2005-10-21
HJH Marshall,South Africa,New Wanderers Stadium,1,3,0,2005-10-21
CD McMillan,South Africa,New Wanderers Stadium,1,15,0,2005-10-21
SB Styris,South Africa,New Wanderers Stadium,1,24,0,2005-10-21
JDP Oram,South Africa,New Wanderers Stadium,1,23,0,2005-10-21
JM Kemp,New Zealand,New Wanderers Stadium,0,8,0,2005-10-21
SE Bond,South Africa,New Wanderers Stadium,0,0,2,2005-10-21
NJ Astle,South Africa,New Wanderers Stadium,1,10,3,2005-10-21
JH Kallis,New Zealand,New Wanderers Stadium,0,20,0,2005-10-21
SP Fleming,South Africa,New Wanderers Stadium,1,31,0,2005-10-21
GC Smith,New Zealand,New Wanderers Stadium,0,61,0,2005-10-21
AG Prince,New Zealand,New Wanderers Stadium,0,5,0,2005-10-21
A Nel,New Zealand,New Wanderers Stadium,0,0,2,2005-10-21
HH Gibbs,New Zealand,New Wanderers Stadium,0,9,0,2005-10-21
JA Morkel,New Zealand,New Wanderers Stadium,0,11,0,2005-10-21
BB McCullum,South Africa,New Wanderers Stadium,1,17,0,2005-10-21
CK Langeveldt,New Zealand,New Wanderers Stadium,0,2,2,2005-10-21
Mohammad Asif,England,County Ground,0,0,2,2006-08-28
SCJ Broad,Pakistan,County Ground,1,0,2,2006-08-28
Mohammad Yousuf,England,County Ground,1,20,0,2006-08-28
PD Collingwood,Pakistan,County Ground,0,2,0,2006-08-28
ME Trescothick,Pakistan,County Ground,0,53,0,2006-08-28
Shahid Afridi,England,County Ground,1,28,0,2006-08-28
Shoaib Malik,England,County Ground,1,16,0,2006-08-28
Abdul Razzaq,England,County Ground,1,17,3,2006-08-28
SI Mahmood,Pakistan,County Ground,0,0,0,2006-08-28
Younis Khan,England,County Ground,1,0,0,2006-08-28
AJ Strauss,Pakistan,County Ground,0,0,0,2006-08-28
KP Pietersen,Pakistan,County Ground,0,0,0,2006-08-28
JWM Dalrymple,Pakistan,County Ground,0,27,1,2006-08-28
Mohammad Hafeez,England,County Ground,1,46,0,2006-08-28
IR Bell,Pakistan,County Ground,0,14,0,2006-08-28
MH Yardy,Pakistan,County Ground,0,24,1,2006-08-28
D Gough,Pakistan,County Ground,1,0,0,2006-08-28
CMW Read,Pakistan,County Ground,0,13,0,2006-08-28
Naved-ul-Hasan,England,County Ground,0,0,1,2006-08-28
Inzamam-ul-Haq,England,County Ground,1,11,0,2006-08-28
Shoaib Akhtar,England,County Ground,0,0,1,2006-08-28
CK Kapugedera,England,The Rose Bowl,0,22,0,2006-06-15
RP Arnold,England,The Rose Bowl,0,7,0,2006-06-15
SJ Harmison,Sri Lanka,The Rose Bowl,0,0,0,2006-06-15
PDRL Perera,England,The Rose Bowl,1,0,0,2006-06-15
PD Collingwood,Sri Lanka,The Rose Bowl,1,5,4,2006-06-15
ME Trescothick,Sri Lanka,The Rose Bowl,1,72,0,2006-06-15
LE Plunkett,Sri Lanka,The Rose Bowl,0,0,1,2006-06-15
WU Tharanga,England,The Rose Bowl,0,34,0,2006-06-15
SI Mahmood,Sri Lanka,The Rose Bowl,0,0,1,2006-06-15
CRD Fernando,England,The Rose Bowl,0,3,1,2006-06-15
AJ Strauss,Sri Lanka,The Rose Bowl,1,33,0,2006-06-15
MF Maharoof,England,The Rose Bowl,0,8,0,2006-06-15
KP Pietersen,Sri Lanka,The Rose Bowl,1,17,0,2006-06-15
KC Sangakkara,England,The Rose Bowl,0,21,0,2006-06-15
JWM Dalrymple,Sri Lanka,The Rose Bowl,1,1,1,2006-06-15
SL Malinga,England,The Rose Bowl,0,13,0,2006-06-15
DPMD Jayawardene,England,The Rose Bowl,0,0,0,2006-06-15
ST Jayasuriya,England,The Rose Bowl,0,41,2,2006-06-15
GO Jones,Sri Lanka,The Rose Bowl,1,14,0,2006-06-15
TT Bresnan,Sri Lanka,The Rose Bowl,1,6,0,2006-06-15
TM Dilshan,England,The Rose Bowl,0,2,1,2006-06-15
SM Pollock,Australia,"Brisbane Cricket Ground, Woolloongabba",1,24,1,2006-01-09
M Zondeki,Australia,"Brisbane Cricket Ground, Woolloongabba",1,0,1,2006-01-09
AJ Hall,Australia,"Brisbane Cricket Ground, Woolloongabba",1,11,0,2006-01-09
MV Boucher,Australia,"Brisbane Cricket Ground, Woolloongabba",1,29,0,2006-01-09
JA Rudolph,Australia,"Brisbane Cricket Ground, Woolloongabba",1,6,0,2006-01-09
NW Bracken,South Africa,"Brisbane Cricket Ground, Woolloongabba",1,0,2,2006-01-09
SR Clark,South Africa,"Brisbane Cricket Ground, Woolloongabba",1,0,1,2006-01-09
RT Ponting,South Africa,"Brisbane Cricket Ground, Woolloongabba",0,27,0,2006-01-09
MJ Clarke,South Africa,"Brisbane Cricket Ground, Woolloongabba",0,0,0,2006-01-09
HH Dippenaar,Australia,"Brisbane Cricket Ground, Woolloongabba",1,1,0,2006-01-09
JR Hopes,South Africa,"Brisbane Cricket Ground, Woolloongabba",0,17,2,2006-01-09
JH Kallis,Australia,"Brisbane Cricket Ground, Woolloongabba",1,15,0,2006-01-09
ML Lewis,South Africa,"Brisbane Cricket Ground, Woolloongabba",1,0,2,2006-01-09
DR Martyn,South Africa,"Brisbane Cricket Ground, Woolloongabba",0,96,0,2006-01-09
GC Smith,Australia,"Brisbane Cricket Ground, Woolloongabba",1,22,0,2006-01-09
GJP Kruger,Australia,"Brisbane Cricket Ground, Woolloongabba",1,3,0,2006-01-09
HH Gibbs,Australia,"Brisbane Cricket Ground, Woolloongabba",1,0,0,2006-01-09
J Botha,Australia,"Brisbane Cricket Ground, Woolloongabba",1,2,1,2006-01-09
A Symonds,South Africa,"Brisbane Cricket Ground, Woolloongabba",0,54,2,2006-01-09
DJ Bravo,New Zealand,Eden Park,0,19,2,2006-02-16
JE Taylor,New Zealand,Eden Park,1,0,2,2006-02-16
DR Smith,New Zealand,Eden Park,0,8,2,2006-02-16
L Vincent,West Indies,Eden Park,1,42,0,2006-02-16
PG Fulton,West Indies,Eden Park,1,16,0,2006-02-16
JEC Franklin,West Indies,Eden Park,1,13,0,2006-02-16
JS Patel,West Indies,Eden Park,0,0,1,2006-02-16
IDR Bradshaw,New Zealand,Eden Park,1,0,0,2006-02-16
D Ramdin,New Zealand,Eden Park,0,9,0,2006-02-16
HJH Marshall,West Indies,Eden Park,1,1,0,2006-02-16
SB Styris,West Indies,Eden Park,1,19,2,2006-02-16
CH Gayle,New Zealand,Eden Park,0,10,2,2006-02-16
SE Bond,West Indies,Eden Park,1,8,2,2006-02-16
NJ Astle,West Indies,Eden Park,1,5,0,2006-02-16
RS Morton,New Zealand,Eden Park,0,4,0,2006-02-16
SP Fleming,West Indies,Eden Park,1,6,0,2006-02-16
CL Cairns,West Indies,Eden Park,1,2,0,2006-02-16
S Chanderpaul,New Zealand,Eden Park,0,26,0,2006-02-16
WW Hinds,New Zealand,Eden Park,0,14,0,2006-02-16
DK Butler,New Zealand,Eden Park,1,0,0,2006-02-16
BB McCullum,West Indies,Eden Park,1,4,0,2006-02-16
D Ganga,New Zealand,Eden Park,0,26,0,2006-02-16
JJ van der Wath,Australia,New Wanderers Stadium,0,14,1,2006-02-24
SM Pollock,Australia,New Wanderers Stadium,0,2,0,2006-02-24
LE Bosman,Australia,New Wanderers Stadium,0,23,0,2006-02-24
SR Watson,South Africa,New Wanderers Stadium,1,4,1,2006-02-24
AC Gilchrist,South Africa,New Wanderers Stadium,1,1,0,2006-02-24
GB Hogg,South Africa,New Wanderers Stadium,1,41,0,2006-02-24
M Ntini,Australia,New Wanderers Stadium,1,0,0,2006-02-24
AJ Hall,Australia,New Wanderers Stadium,1,0,3,2006-02-24
B Lee,South Africa,New Wanderers Stadium,1,43,0,2006-02-24
NW Bracken,South Africa,New Wanderers Stadium,1,3,1,2006-02-24
SR Clark,South Africa,New Wanderers Stadium,0,0,0,2006-02-24
RT Ponting,South Africa,New Wanderers Stadium,1,6,0,2006-02-24
MJ Clarke,South Africa,New Wanderers Stadium,1,37,0,2006-02-24
SM Katich,South Africa,New Wanderers Stadium,1,39,0,2006-02-24
R Telemachus,Australia,New Wanderers Stadium,1,0,1,2006-02-24
RJ Peterson,Australia,New Wanderers Stadium,1,0,2,2006-02-24
ML Lewis,South Africa,New Wanderers Stadium,0,0,2,2006-02-24
DR Martyn,South Africa,New Wanderers Stadium,1,17,0,2006-02-24
GC Smith,Australia,New Wanderers Stadium,0,89,0,2006-02-24
HH Gibbs,Australia,New Wanderers Stadium,0,56,0,2006-02-24
EC Joyce,Australia,Sydney Cricket Ground,1,1,0,2007-01-09
MP Vaughan,Australia,Sydney Cricket Ground,1,27,0,2007-01-09
ML Hayden,England,Sydney Cricket Ground,0,20,0,2007-01-09
PD Collingwood,Australia,Sydney Cricket Ground,1,5,1,2007-01-09
AC Gilchrist,England,Sydney Cricket Ground,0,48,0,2007-01-09
GB Hogg,England,Sydney Cricket Ground,1,0,0,2007-01-09
BW Hilfenhaus,England,Sydney Cricket Ground,1,0,2,2007-01-09
CL White,England,Sydney Cricket Ground,0,40,1,2007-01-09
NW Bracken,England,Sydney Cricket Ground,1,0,1,2007-01-09
RT Ponting,England,Sydney Cricket Ground,0,47,0,2007-01-09
MJ Clarke,England,Sydney Cricket Ground,0,5,0,2007-01-09
PA Nixon,Australia,Sydney Cricket Ground,1,31,0,2007-01-09
J Lewis,Australia,Sydney Cricket Ground,1,1,0,2007-01-09
KP Pietersen,Australia,Sydney Cricket Ground,1,11,0,2007-01-09
JWM Dalrymple,Australia,Sydney Cricket Ground,1,32,0,2007-01-09
JM Anderson,Australia,Sydney Cricket Ground,1,1,1,2007-01-09
IR Bell,Australia,Sydney Cricket Ground,1,22,0,2007-01-09
MEK Hussey,England,Sydney Cricket Ground,0,18,0,2007-01-09
A Flintoff,Australia,Sydney Cricket Ground,1,0,0,2007-01-09
SM Harwood,England,Sydney Cricket Ground,1,0,1,2007-01-09
MS Panesar,Australia,Sydney Cricket Ground,1,1,2,2007-01-09
A Symonds,England,Sydney Cricket Ground,0,39,2,2007-01-09
SP Fleming,Sri Lanka,Westpac Stadium,0,38,0,2006-12-22
JEC Franklin,Sri Lanka,Westpac Stadium,0,18,0,2006-12-22
LPC Silva,New Zealand,Westpac Stadium,0,0,1,2006-12-22
ST Jayasuriya,New Zealand,Westpac Stadium,1,51,3,2006-12-22
MR Gillespie,Sri Lanka,Westpac Stadium,0,3,0,2006-12-22
LRPL Taylor,Sri Lanka,Westpac Stadium,0,21,0,2006-12-22
MF Maharoof,New Zealand,Westpac Stadium,0,0,1,2006-12-22
AR Adams,Sri Lanka,Westpac Stadium,0,6,0,2006-12-22
PD McGlashan,Sri Lanka,Westpac Stadium,0,5,0,2006-12-22
JAH Marshall,Sri Lanka,Westpac Stadium,0,1,0,2006-12-22
SE Bond,Sri Lanka,Westpac Stadium,0,0,1,2006-12-22
NJ Astle,Sri Lanka,Westpac Stadium,0,19,0,2006-12-22
M Muralitharan,New Zealand,Westpac Stadium,0,0,2,2006-12-22
WU Tharanga,New Zealand,Westpac Stadium,1,6,0,2006-12-22
WPUJC Vaas,New Zealand,Westpac Stadium,0,0,1,2006-12-22
BB McCullum,Sri Lanka,Westpac Stadium,0,39,0,2006-12-22
CRD Fernando,New Zealand,Westpac Stadium,0,0,0,2006-12-22
DPMD Jayawardene,New Zealand,Westpac Stadium,1,2,0,2006-12-22
CK Kapugedera,New Zealand,Eden Park,0,12,0,2006-12-26
LPC Silva,New Zealand,Eden Park,0,12,0,2006-12-26
AR Adams,Sri Lanka,Eden Park,0,0,2,2006-12-26
PD McGlashan,Sri Lanka,Eden Park,1,2,0,2006-12-26
PDRL Perera,New Zealand,Eden Park,1,0,0,2006-12-26
PG Fulton,Sri Lanka,Eden Park,1,14,0,2006-12-26
MJ Mason,Sri Lanka,Eden Park,0,0,1,2006-12-26
JEC Franklin,Sri Lanka,Eden Park,1,3,3,2006-12-26
JS Patel,Sri Lanka,Eden Park,0,0,1,2006-12-26
LRPL Taylor,Sri Lanka,Eden Park,1,4,0,2006-12-26
MS Atapattu,New Zealand,Eden Park,0,5,0,2006-12-26
HMCM Bandara,New Zealand,Eden Park,0,1,0,2006-12-26
WU Tharanga,New Zealand,Eden Park,0,0,0,2006-12-26
CRD Fernando,New Zealand,Eden Park,0,21,3,2006-12-26
MR Gillespie,Sri Lanka,Eden Park,0,0,1,2006-12-26
KC Sangakkara,New Zealand,Eden Park,0,13,0,2006-12-26
NJ Astle,Sri Lanka,Eden Park,1,40,1,2006-12-26
SL Malinga,New Zealand,Eden Park,0,27,0,2006-12-26
DPMD Jayawardene,New Zealand,Eden Park,0,9,0,2006-12-26
SP Fleming,Sri Lanka,Eden Park,1,17,0,2006-12-26
TM Dilshan,New Zealand,Eden Park,0,3,0,2006-12-26
BB McCullum,Sri Lanka,Eden Park,1,28,0,2006-12-26
JJ van der Wath,India,New Wanderers Stadium,0,21,0,2006-12-01
MS Dhoni,South Africa,New Wanderers Stadium,1,0,0,2006-12-01
SK Raina,South Africa,New Wanderers Stadium,1,3,0,2006-12-01
LE Bosman,India,New Wanderers Stadium,0,1,0,2006-12-01
V Sehwag,South Africa,New Wanderers Stadium,1,34,0,2006-12-01
Harbhajan Singh,South Africa,New Wanderers Stadium,0,0,1,2006-12-01
SR Tendulkar,South Africa,New Wanderers Stadium,1,10,1,2006-12-01
T Henderson,India,New Wanderers Stadium,0,0,0,2006-12-01
S Sreesanth,South Africa,New Wanderers Stadium,0,0,1,2006-12-01
JM Kemp,India,New Wanderers Stadium,0,22,0,2006-12-01
Z Khan,South Africa,New Wanderers Stadium,0,0,2,2006-12-01
R Telemachus,India,New Wanderers Stadium,0,5,0,2006-12-01
KD Karthik,South Africa,New Wanderers Stadium,1,31,0,2006-12-01
RJ Peterson,India,New Wanderers Stadium,0,8,1,2006-12-01
IK Pathan,South Africa,New Wanderers Stadium,0,0,0,2006-12-01
AB Agarkar,South Africa,New Wanderers Stadium,0,0,2,2006-12-01
AB de Villiers,India,New Wanderers Stadium,0,6,0,2006-12-01
D Mongia,South Africa,New Wanderers Stadium,1,38,0,2006-12-01
GC Smith,India,New Wanderers Stadium,0,16,0,2006-12-01
HH Gibbs,India,New Wanderers Stadium,0,7,0,2006-12-01
JA Morkel,India,New Wanderers Stadium,0,27,0,2006-12-01
CK Langeveldt,India,New Wanderers Stadium,0,0,2,2006-12-01
DJ Bravo,England,Kennington Oval,0,1,0,2007-06-28
SCJ Broad,West Indies,Kennington Oval,1,1,1,2007-06-28
DR Smith,England,Kennington Oval,0,6,3,2007-06-28
PD Collingwood,West Indies,Kennington Oval,1,79,0,2007-06-28
MJ Prior,West Indies,Kennington Oval,1,25,0,2007-06-28
MN Samuels,England,Kennington Oval,0,51,0,2007-06-28
OA Shah,West Indies,Kennington Oval,1,7,0,2007-06-28
AN Cook,West Indies,Kennington Oval,1,15,0,2007-06-28
D Ramdin,England,Kennington Oval,0,24,0,2007-06-28
DBL Powell,England,Kennington Oval,1,0,0,2007-06-28
DS Smith,England,Kennington Oval,0,61,0,2007-06-28
CH Gayle,England,Kennington Oval,0,5,0,2007-06-28
KP Pietersen,West Indies,Kennington Oval,1,16,0,2007-06-28
JM Anderson,West Indies,Kennington Oval,0,0,2,2007-06-28
RS Morton,England,Kennington Oval,0,2,0,2007-06-28
AD Mascarenhas,West Indies,Kennington Oval,1,2,2,2007-06-28
MH Yardy,West Indies,Kennington Oval,1,23,1,2007-06-28
IJL Trott,West Indies,Kennington Oval,1,9,0,2007-06-28
S Chanderpaul,England,Kennington Oval,0,41,0,2007-06-28
DJG Sammy,England,Kennington Oval,0,1,2,2007-06-28
RJ Sidebottom,West Indies,Kennington Oval,0,0,1,2007-06-28
R Rampaul,England,Kennington Oval,0,0,0,2007-06-28
DJ Bravo,England,Kennington Oval,0,0,0,2007-06-29
SCJ Broad,West Indies,Kennington Oval,0,0,1,2007-06-29
DR Smith,England,Kennington Oval,0,5,0,2007-06-29
PD Collingwood,West Indies,Kennington Oval,1,27,2,2007-06-29
MJ Prior,West Indies,Kennington Oval,1,22,0,2007-06-29
MN Samuels,England,Kennington Oval,0,42,1,2007-06-29
OA Shah,West Indies,Kennington Oval,1,55,0,2007-06-29
AN Cook,West Indies,Kennington Oval,1,9,0,2007-06-29
D Ramdin,England,Kennington Oval,0,10,0,2007-06-29
DBL Powell,England,Kennington Oval,1,0,1,2007-06-29
CH Gayle,England,Kennington Oval,0,61,0,2007-06-29
KP Pietersen,West Indies,Kennington Oval,1,19,0,2007-06-29
JM Anderson,West Indies,Kennington Oval,0,0,1,2007-06-29
RS Morton,England,Kennington Oval,0,18,0,2007-06-29
AD Mascarenhas,West Indies,Kennington Oval,1,18,0,2007-06-29
ACL Richards,England,Kennington Oval,0,10,0,2007-06-29
IJL Trott,West Indies,Kennington Oval,1,2,0,2007-06-29
MH Yardy,West Indies,Kennington Oval,0,0,0,2007-06-29
DJG Sammy,England,Kennington Oval,0,7,1,2007-06-29
LMP Simmons,England,Kennington Oval,0,9,0,2007-06-29
RJ Sidebottom,West Indies,Kennington Oval,0,0,2,2007-06-29
R Rampaul,England,Kennington Oval,1,0,2,2007-06-29
JJ van der Wath,West Indies,New Wanderers Stadium,0,0,2,2007-09-11
DJ Bravo,South Africa,New Wanderers Stadium,1,0,0,2007-09-11
SM Pollock,West Indies,New Wanderers Stadium,0,0,1,2007-09-11
DR Smith,South Africa,New Wanderers Stadium,0,1,0,2007-09-11
FH Edwards,South Africa,New Wanderers Stadium,1,0,1,2007-09-11
RR Sarwan,South Africa,New Wanderers Stadium,0,12,0,2007-09-11
MN Samuels,South Africa,New Wanderers Stadium,0,6,0,2007-09-11
M Ntini,West Indies,New Wanderers Stadium,0,0,0,2007-09-11
D Ramdin,South Africa,New Wanderers Stadium,0,6,0,2007-09-11
M Morkel,West Indies,New Wanderers Stadium,0,0,1,2007-09-11
JM Kemp,West Indies,New Wanderers Stadium,1,46,0,2007-09-11
DBL Powell,South Africa,New Wanderers Stadium,1,0,0,2007-09-11
DS Smith,South Africa,New Wanderers Stadium,0,35,0,2007-09-11
CH Gayle,South Africa,New Wanderers Stadium,0,117,0,2007-09-11
AB de Villiers,West Indies,New Wanderers Stadium,1,16,0,2007-09-11
S Chanderpaul,South Africa,New Wanderers Stadium,0,11,0,2007-09-11
VD Philander,West Indies,New Wanderers Stadium,0,0,2,2007-09-11
GC Smith,West Indies,New Wanderers Stadium,1,28,0,2007-09-11
HH Gibbs,West Indies,New Wanderers Stadium,1,90,0,2007-09-11
R Rampaul,South Africa,New Wanderers Stadium,1,0,1,2007-09-11
JA Morkel,West Indies,New Wanderers Stadium,0,0,0,2007-09-11
RL Bhudia,New Zealand,Kingsmead,0,11,0,2007-09-12
T Mishra,New Zealand,Kingsmead,0,0,0,2007-09-12
DO Obuya,New Zealand,Kingsmead,0,0,0,2007-09-12
NN Odhiambo,New Zealand,Kingsmead,0,0,0,2007-09-12
AA Obanda,New Zealand,Kingsmead,0,4,0,2007-09-12
L Vincent,Kenya,Kingsmead,1,27,0,2007-09-12
PG Fulton,Kenya,Kingsmead,1,21,0,2007-09-12
TM Odoyo,New Zealand,Kingsmead,0,18,1,2007-09-12
JDP Oram,Kenya,Kingsmead,0,0,0,2007-09-12
CS Martin,Kenya,Kingsmead,0,0,2,2007-09-12
MR Gillespie,Kenya,Kingsmead,0,0,4,2007-09-12
PJ Ongondo,New Zealand,Kingsmead,0,0,0,2007-09-12
SE Bond,Kenya,Kingsmead,0,0,2,2007-09-12
CO Obuya,New Zealand,Kingsmead,0,18,0,2007-09-12
MA Ouma,New Zealand,Kingsmead,0,0,0,2007-09-12
SO Tikolo,New Zealand,Kingsmead,0,0,0,2007-09-12
DL Vettori,Kenya,Kingsmead,0,0,2,2007-09-12
JK Kamande,New Zealand,Kingsmead,0,14,0,2007-09-12
BB McCullum,Kenya,Kingsmead,1,16,0,2007-09-12
Mohammad Asif,Scotland,Kingsmead,1,0,1,2007-09-12
RR Watson,Pakistan,Kingsmead,1,2,0,2007-09-12
DR Brown,Pakistan,Kingsmead,1,1,0,2007-09-12
Kamran Akmal,Scotland,Kingsmead,0,16,0,2007-09-12
GM Hamilton,Pakistan,Kingsmead,1,2,0,2007-09-12
Misbah-ul-Haq,Scotland,Kingsmead,0,23,0,2007-09-12
Yasir Arafat,Scotland,Kingsmead,0,17,0,2007-09-12
RM Haq,Pakistan,Kingsmead,1,14,2,2007-09-12
JD Nel,Pakistan,Kingsmead,1,13,2,2007-09-12
Shahid Afridi,Scotland,Kingsmead,0,22,4,2007-09-12
Shoaib Malik,Scotland,Kingsmead,0,11,0,2007-09-12
DF Watts,Pakistan,Kingsmead,1,46,0,2007-09-12
Younis Khan,Scotland,Kingsmead,0,41,0,2007-09-12
NFI McCallum,Pakistan,Kingsmead,1,0,0,2007-09-12
NS Poonia,Pakistan,Kingsmead,1,4,0,2007-09-12
CJO Smith,Pakistan,Kingsmead,1,11,0,2007-09-12
JAR Blain,Pakistan,Kingsmead,1,0,2,2007-09-12
Mohammad Hafeez,Scotland,Kingsmead,0,18,1,2007-09-12
CM Wright,Pakistan,Kingsmead,1,14,3,2007-09-12
Umar Gul,Scotland,Kingsmead,1,0,4,2007-09-12
Salman Butt,Scotland,Kingsmead,0,13,0,2007-09-12
Imran Nazir,Scotland,Kingsmead,0,4,0,2007-09-12
ML Hayden,Zimbabwe,Newlands,0,4,0,2007-09-12
AC Gilchrist,Zimbabwe,Newlands,0,4,0,2007-09-12
V Sibanda,Australia,Newlands,1,23,0,2007-09-12
BJ Haddin,Zimbabwe,Newlands,0,6,0,2007-09-12
B Lee,Zimbabwe,Newlands,0,13,1,2007-09-12
T Mupariwa,Australia,Newlands,0,0,0,2007-09-12
NW Bracken,Zimbabwe,Newlands,0,4,1,2007-09-12
BRM Taylor,Australia,Newlands,1,60,0,2007-09-12
S Matsikenyeri,Australia,Newlands,1,3,0,2007-09-12
GB Brent,Australia,Newlands,0,0,2,2007-09-12
T Taibu,Australia,Newlands,1,0,0,2007-09-12
RT Ponting,Zimbabwe,Newlands,0,8,0,2007-09-12
P Utseya,Australia,Newlands,0,0,1,2007-09-12
SR Clark,Zimbabwe,Newlands,1,0,2,2007-09-12
MG Johnson,Zimbabwe,Newlands,0,9,1,2007-09-12
MEK Hussey,Zimbabwe,Newlands,0,15,0,2007-09-12
CJ Chibhabha,Australia,Newlands,1,15,0,2007-09-12
H Masakadza,Australia,Newlands,1,27,1,2007-09-12
E Chigumbura,Australia,Newlands,1,4,3,2007-09-12
BJ Hodge,Zimbabwe,Newlands,0,35,0,2007-09-12
A Symonds,Zimbabwe,Newlands,0,33,0,2007-09-12
DJ Bravo,Bangladesh,New Wanderers Stadium,0,2,0,2007-09-13
Farhad Reza,West Indies,New Wanderers Stadium,0,0,0,2007-09-13
DR Smith,Bangladesh,New Wanderers Stadium,0,29,0,2007-09-13
FH Edwards,Bangladesh,New Wanderers Stadium,1,0,0,2007-09-13
RR Sarwan,Bangladesh,New Wanderers Stadium,0,5,2,2007-09-13
Mohammad Ashraful,West Indies,New Wanderers Stadium,1,61,1,2007-09-13
MN Samuels,Bangladesh,New Wanderers Stadium,0,27,0,2007-09-13
D Ramdin,Bangladesh,New Wanderers Stadium,0,2,0,2007-09-13
Nazimuddin,West Indies,New Wanderers Stadium,1,1,0,2007-09-13
Mashrafe Mortaza,West Indies,New Wanderers Stadium,0,0,0,2007-09-13
DBL Powell,Bangladesh,New Wanderers Stadium,0,1,0,2007-09-13
Aftab Ahmed,West Indies,New Wanderers Stadium,1,62,0,2007-09-13
DS Smith,Bangladesh,New Wanderers Stadium,0,51,0,2007-09-13
CH Gayle,Bangladesh,New Wanderers Stadium,0,0,0,2007-09-13
Alok Kapali,West Indies,New Wanderers Stadium,1,5,0,2007-09-13
S Chanderpaul,Bangladesh,New Wanderers Stadium,0,37,0,2007-09-13
Tamim Iqbal,West Indies,New Wanderers Stadium,1,10,0,2007-09-13
Shakib Al Hasan,West Indies,New Wanderers Stadium,1,13,4,2007-09-13
R Rampaul,Bangladesh,New Wanderers Stadium,1,0,2,2007-09-13
Syed Rasel,West Indies,New Wanderers Stadium,0,0,1,2007-09-13
Abdur Razzak,West Indies,New Wanderers Stadium,0,0,2,2007-09-13
SCJ Broad,Zimbabwe,Newlands,0,1,1,2007-09-13
PD Collingwood,Zimbabwe,Newlands,0,37,1,2007-09-13
MJ Prior,Zimbabwe,Newlands,0,20,0,2007-09-13
V Sibanda,England,Newlands,1,29,0,2007-09-13
